t,phase,min_front,min_left,min_right,speed,yaw,dist_to_wp,bearing_to_wp,rc_throttle_norm,rc_yaw_norm
155.044,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0108,0.000,0.0000,0.000,0.000
155.144,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0108,0.000,0.0000,0.000,0.000
155.244,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0108,0.000,0.0000,0.000,0.000
155.344,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0108,0.000,0.0000,0.000,0.000
155.444,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0108,0.000,0.0000,0.000,0.000
155.544,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0109,0.000,0.0000,0.000,0.000
155.644,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0109,0.000,0.0000,0.000,0.000
155.744,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0109,0.000,0.0000,0.000,0.000
155.844,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0110,0.000,0.0000,0.000,0.000
155.944,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0110,0.000,0.0000,0.000,0.000
156.044,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0110,0.000,0.0000,0.000,0.000
156.144,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0110,0.000,0.0000,0.000,0.000
156.244,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0110,0.000,0.0000,0.000,0.000
156.344,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0111,0.000,0.0000,0.000,0.000
156.444,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0111,0.000,0.0000,0.000,0.000
156.544,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0111,0.000,0.0000,0.000,0.000
156.644,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0111,0.000,0.0000,0.000,0.000
156.744,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0111,0.000,0.0000,0.000,0.000
156.844,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0112,0.000,0.0000,0.000,0.000
156.944,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0112,0.000,0.0000,0.000,0.000
157.044,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0112,0.000,0.0000,0.000,0.000
157.144,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0112,0.000,0.0000,0.000,0.000
157.244,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0112,0.000,0.0000,0.000,0.000
157.344,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0113,0.000,0.0000,0.000,0.000
157.444,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0113,0.000,0.0000,0.000,0.000
157.546,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0114,0.000,0.0000,0.000,0.000
157.644,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0114,0.000,0.0000,0.000,0.000
157.744,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0114,0.000,0.0000,0.000,0.000
